N?m sinh,Gi?i tính,Trình ?? h?c v?n,Tình tr?ng hôn nhân,Th?i gian s? d?ng Facebook m?i ngày,S? l??ng b?n bè trên Facebook,S? bài ??ng m?i ngày,Lo?i n?i dung yêu thích,S? thích cá nhân,M?c ?? th? hi?n c?m xúc trên Facebook,M?c ?? bình lu?n trên Facebook,T?n su?t mua s?m trên Facebook
1995,Male,Doctoral,Single,6 hours,1500,0,Video,"Science, Technology",70,30,Four times per week
1990,Female,High School,Married,4 hours,600,2,Image,"Fashion, Makeup",45,18,Twice per week
2001,Male,Bachelor's,Single,3.5 hours,700,4,Text,"Gaming, Anime",60,25,Once per week
1993,Female,Unknown,In a Relationship,5 hours,1000,6,Video,"Travel, Adventure",20,8,Once every two months
1994,Male,Bachelor's,Single,3 hours,450,2,Text,"Literature, Poetry",55,22,Twice per week
1998,Female,High School,Single,4 hours,850,3,Image,"Social Media, Travel",65,28,Three times per week
1991,Male,Bachelor's,Married,4 hours,700,2,Video,"Music, Movies",42,15,Once per week
1997,Female,Bachelor's,In a Relationship,3.5 hours,550,2,Video,"Food, Cooking",30,12,Twice per week
1992,Male,Bachelor's,Single,4.5 hours,800,3,Video,"Technology, Gaming",38,16,Once per week
1996,Female,High School,In a Relationship,3 hours,500,1,Text,"Travel, Photography",25,10,Twice per week
1998,Male,Master's,Married,5 hours,1200,5,Image,"Art, Literature",50,20,Three times per week
1999,Female,Bachelor's,Single,2 hours,300,0,Video,"Music, Dance",15,5,Once per month
1995,Male,Doctoral,Single,6 hours,1500,1,Video,"Science, Technology",70,30,Four times per week
1990,Female,High School,Married,4 hours,600,2,Image,"Fashion, Makeup",45,18,Twice per week
2001,Male,Bachelor's,Single,3.5 hours,700,4,Text,"Gaming, Anime",60,25,Once per week
1993,Female,Unknown,In a Relationship,5 hours,1000,1,Video,"Travel, Adventure",20,8,Once every two months
1994,Male,Bachelor's,Single,3 hours,450,2,Text,"Literature, Poetry",55,22,Twice per week
1998,Female,High School,Single,4 hours,850,3,Image,"Social Media, Travel",65,28,Three times per week
1991,Male,Bachelor's,Married,4 hours,700,2,Video,"Music, Movies",42,15,Once per week
2006,Female,Bachelor's,In a Relationship,3.5 hours,550,2,Video,"Food, Cooking",30,12,Twice per week
1992,Female,High School,Single,5 hours,900,4,Image,"Food, Travel",48,20,Once per week
1993,Female,Bachelor's,Single,4.5 hours,750,2,Video,"Fashion, Travel",40,18,Twice per week
1997,Male,High School,In a Relationship,3 hours,400,1,Text,"Music, Sports",28,10,Once per week
1995,Female,Bachelor's,Married,5 hours,1100,4,Image,"Art, Photography",16,5,Once per month
1996,Male,Master's,Single,2.5 hours,250,0,Video,"Technology, Gaming",55,23,Three times per week
1994,Female,High School,In a Relationship,6 hours,1500,7,Video,"Cooking, Food",75,30,Four times per week
2000,Male,Bachelor's,Single,3 hours,600,3,Text,"Literature, Music",35,15,Twice per week
1990,Female,Doctoral,Married,4 hours,900,4,Image,"Science, Technology",20,8,Once per month
1998,Male,Bachelor's,Single,5 hours,850,5,Video,"Travel, Adventure",30,12,Once every two months
2005,Female,High School,Single,2.5 hours,400,1,Text,"Dance, Music",42,17,Once per week
1991,Male,Master's,Married,4.5 hours,950,3,Image,"Photography, Nature",65,28,Twice per week
1999,Female,Bachelor's,In a Relationship,3.5 hours,700,2,Video,"Social Media, Fashion",50,20,Three times per week
1998,Female,Bachelor's,Single,4 hours,550,2,Text,"Literature, Writing",35,15,Twice per week
1994,Male,High School,Married,3.5 hours,700,3,Image,"Travel, Photography",45,20,Once per week
1991,Female,Bachelor's,In a Relationship,5 hours,1200,6,Video,"Music, Movies",25,10,Once every two months
2002,Male,High School,Single,2.5 hours,300,1,Text,"Gaming, Technology",50,22,Three times per week
1999,Female,Bachelor's,Single,3 hours,800,4,Video,"Fashion, Makeup",40,18,Once per week
1995,Male,Bachelor's,In a Relationship,4.5 hours,950,5,Image,"Food, Cooking",60,30,Twice per week
2000,Female,High School,Single,3 hours,400,2,Text,"Dance, Music",42,20,Once per week
1997,Male,Bachelor's,Married,5 hours,850,4,Video,"Travel, Adventure",70,35,Four times per week
2005,Female,High School,Single,2.5 hours,550,2,Image,"Art, Literature",28,12,Twice per week
1993,Male,Bachelor's,In a Relationship,4 hours,700,3,Text,"Science, Technology",55,25,Once per week
2002,Male,High School,Single,2.5 hours,300,1,Text,"Gaming, Technology",50,22,Three times per week
1999,Female,Bachelor's,Single,3 hours,800,4,Video,"Fashion, Makeup",40,18,Once per week
1995,Male,Bachelor's,In a Relationship,4.5 hours,950,5,Image,"Food, Cooking",60,30,Twice per week
2000,Female,High School,Single,3 hours,400,2,Text,"Dance, Music",42,20,Once per week
1997,Male,Bachelor's,Married,5 hours,850,4,Video,"Travel, Adventure",70,35,Four times per week
2005,Female,High School,Single,2.5 hours,550,2,Image,"Art, Literature",28,12,Twice per week
1993,Male,Bachelor's,In a Relationship,4 hours,700,3,Text,"Science, Technology",55,25,Once per week
1998,Female,High School,Single,3 hours,600,2,Video,"Fashion, Photography",35,15,Twice per week
1996,Male,Bachelor's,In a Relationship,4 hours,750,3,Text,"Music, Literature",48,21,Once per week
1991,Female,Master's,Married,5 hours,1200,2,Video,"Travel, Cuisine",65,28,Three times per week
2002,Male,High School,Single,2.5 hours,300,1,Text,"Gaming, Technology",50,22,Three times per week
1999,Female,Bachelor's,Single,3 hours,800,4,Video,"Fashion, Makeup",40,18,Once per week
1995,Male,Bachelor's,In a Relationship,4.5 hours,950,5,Image,"Food, Cooking",60,30,Twice per week
2000,Female,High School,Single,3 hours,400,2,Text,"Dance, Music",42,20,Once per week
1997,Male,Bachelor's,Married,5 hours,850,4,Video,"Travel, Adventure",70,35,Four times per week
2005,Female,High School,Single,2.5 hours,550,2,Image,"Art, Literature",28,12,Twice per week
1993,Male,Bachelor's,In a Relationship,4 hours,700,3,Text,"Science, Technology",55,25,Once per week
1996,Male,Bachelor's,In a Relationship,4 hours,750,3,Text,"Music, Literature",48,21,Once per week
1991,Female,Master's,Married,5 hours,1200,0,Video,"Travel, Cuisine",65,28,Three times per week
1994,Male,High School,Single,3.5 hours,500,2,Image,"Outdoor, Adventure",30,17,Once per week
2001,Female,Bachelor's,In a Relationship,4 hours,900,5,Text,"Fashion, Beauty",40,20,Twice per week
1992,Male,Master's,Single,3 hours,650,3,Video,"Music, Travel",55,25,Three times per week
2002,Male,High School,Single,2.5 hours,300,1,Text,"Gaming, Technology",50,22,Three times per week
1999,Female,Bachelor's,Single,3 hours,800,4,Video,"Fashion, Makeup",40,18,Once per week
1995,Male,Bachelor's,In a Relationship,4.5 hours,950,5,Image,"Food, Cooking",60,30,Twice per week
2000,Female,High School,Single,3 hours,400,2,Text,"Dance, Music",42,20,Once per week
1997,Male,Bachelor's,Married,5 hours,850,4,Video,"Travel, Adventure",70,35,Four times per week
2005,Female,High School,Single,2.5 hours,550,2,Image,"Art, Literature",28,12,Twice per week
1993,Male,Bachelor's,In a Relationship,4 hours,700,3,Text,"Science, Technology",55,25,Once per week
1998,Female,High School,Single,3 hours,600,2,Video,"Fashion, Photography",35,15,Twice per week
1996,Male,Bachelor's,In a Relationship,4 hours,750,3,Text,"Music, Literature",48,21,Once per week
1991,Female,Master's,Married,5 hours,1200,3,Video,"Travel, Cuisine",65,28,Three times per week
1994,Male,High School,Single,3.5 hours,500,2,Image,"Outdoor, Adventure",30,17,Once per week
2001,Female,Bachelor's,In a Relationship,4 hours,900,5,Text,"Fashion, Beauty",40,20,Twice per week
1992,Male,Master's,Single,3 hours,650,3,Video,"Music, Travel",55,25,Three times per week
2000,Male,High School,Single,3.5 hours,700,3,Text,"Literature, History",48,21,Twice per week
1997,Male,Bachelor's,In a Relationship,3.2 hours,700,2,Text,"Technology, Gaming",48,22,2 times per week
1995,Female,Master's,Single,2.5 hours,450,3,Video,"Fashion, Cooking",30,15,Once every two weeks
2000,Female,High School,Married,4 hours,800,1,Image,"Music, Travel",55,27,Once per month
1993,Male,Doctoral,Single,1.5 hours,250,0,Text,"Science, Literature",12,5,Once every three months
1998,Female,Bachelor's,In a Relationship,4.5 hours,950,5,Video,"Art, Photography",70,33,3 times per week
1990,Male,Unknown,Single,2 hours,300,1,Video,"Sports, Travel",25,10,2 times per month
1990,Female,High School,Divorced,5 hours,1200,4,Video,"Fitness, Yoga",60,25,Once per week
1996,Male,Bachelor's,Single,3 hours,600,2,Image,"Music, Gaming",40,20,Once every two weeks
2001,Female,Master's,Single,2 hours,350,0,Text,"Literature, History",20,8,Once every three weeks
1990,Male,High School,Married,6 hours,1500,6,Video,"Movies, Literature",75,35,4 times per week
1999,Female,Bachelor's,In a Relationship,3.5 hours,750,3,Video,"Art, Dance",50,18,Once per month
1994,Male,Doctoral,Single,1 hour,200,0,Text,"Technology, Science",15,6,Once every two months
1990,Male,Master's,Single,2 hours,400,2,Image,"Photography, Travel",35,18,2 times per month
1997,Female,Bachelor's,Married,3.5 hours,850,4,Video,"Fashion, Beauty",45,23,Once per week
2000,Male,High School,Single,4 hours,700,3,Text,"Gaming, Music",50,25,3 times per week
1991,Female,Master's,In a Relationship,1.5 hours,300,1,Image,"Art, Literature",20,10,Once every two weeks
1993,Male,Bachelor's,Married,2.5 hours,600,2,Video,"Sports, Cooking",40,20,2 times per month
1998,Female,High School,Single,5 hours,950,5,Video,"Travel, Food",55,28,Once per week
1991,Male,Doctoral,Divorced,1.2 hours,200,0,Text,"Science, Technology",15,8,Once per month
1996,Female,Bachelor's,Single,3 hours,650,3,Image,"Fitness, Yoga",35,15,Once every two weeks
1999,Male,High School,In a Relationship,6 hours,1400,6,Video,"Movies, Literature",70,30,4 times per week
2001,Female,Master's,Single,2.2 hours,400,1,Text,"History, Travel",25,12,Once every two weeks
1994,Male,Bachelor's,Married,3.8 hours,800,4,Video,"Music, Technology",60,27,3 times per week
1990,Female,High School,In a Relationship,4.5 hours,1100,5,Image,"Dance, Fashion",65,32,Once per week
1995,Male,Bachelor's,Single,4 hours,600,2,Video,"Music, Gaming",40,20,2 times per week
1998,Female,High School,Married,4.5 hours,850,4,Text,"Fashion, Cooking",50,25,Once per week
1990,Male,Master's,Single,2.5 hours,600,3,Image,"Travel, Photography",55,28,3 times per week
1993,Female,Bachelor's,In a Relationship,3 hours,650,2,Video,"Fitness, Yoga",35,15,Once every two weeks
1992,Male,Doctoral,Single,1.5 hours,300,1,Text,"Science, Literature",20,10,Once per month
1999,Female,Bachelor's,Single,4 hours,700,3,Video,"Fashion, Beauty",45,23,Once per week
1991,Male,High School,Married,2 hours,400,2,Image,"Gaming, Technology",30,15,2 times per month
1994,Female,Master's,In a Relationship,3.8 hours,800,4,Text,"Literature, History",60,27,3 times per week
1990,Male,Bachelor's,In a Relationship,5 hours,1100,5,Video,"Movies, Music",65,32,4 times per week
1997,Female,Bachelor's,Divorced,3.5 hours,1000,2,Image,Gaming,50,35,Once per week
1992,Male,High School,Married,4 hours,700,3,Video,"Travel, Food",45,20,3 times per week
2001,Female,Bachelor's,Single,2.2 hours,400,1,Text,"History, Literature",25,12,Once every two weeks
1995,Male,Bachelor's,Single,3 hours,500,3,Video,"Music, Gaming",40,20,2 times per week
1998,Female,High School,Married,4.5 hours,850,4,Text,"Fashion, Cooking",50,25,Once per week
1990,Male,Master's,Single,2.5 hours,600,3,Image,"Travel, Photography",55,28,3 times per week
1993,Female,Bachelor's,In a Relationship,3 hours,650,2,Video,"Fitness, Yoga",35,15,Once every two weeks
1990,Male,Doctoral,Single,1.5 hours,300,1,Text,"Science, Literature",20,10,Once per month
1999,Female,Bachelor's,Single,4 hours,700,3,Video,"Fashion, Beauty",45,23,Once per week
1991,Male,High School,Married,2 hours,400,2,Image,"Gaming, Technology",30,15,2 times per month
1994,Female,Master's,In a Relationship,3.8 hours,800,4,Text,"Literature, History",60,27,3 times per week
1998,Male,Bachelor's,In a Relationship,5 hours,1100,5,Video,"Movies, Music",65,32,4 times per week
1997,Female,Bachelor's,Single,3.5 hours,850,4,Image,"Art, Dance",50,25,Once per week
1996,Male,Master's,Single,3 hours,750,3,Video,"Science, Technology",42,18,2 times per week
2000,Female,High School,Single,4.2 hours,620,2,Image,"Fashion, Travel",48,24,Once per week
1999,Male,Bachelor's,Single,3.7 hours,800,3,Video,"Gaming, Music",55,30,3 times per week
1992,Female,Master's,Married,2.8 hours,540,2,Text,"Literature, Poetry",30,15,Once every two weeks
1998,Male,Bachelor's,In a Relationship,4.5 hours,720,3,Image,"Photography, Travel",60,25,2 times per week
2001,Female,High School,Single,3.3 hours,680,2,Video,"Music, Dance",40,20,Once per week
1995,Male,Bachelor's,Single,3.8 hours,560,3,Text,"Technology, Science",50,25,3 times per week
1999,Female,Master's,Single,4.1 hours,720,3,Video,"Literature, Music",45,22,Once per week
1995,Male,Bachelor's,Single,3 hours,500,2,Video,"Gaming, Anime",40,20,2 times per week
1998,Female,High School,Married,4.5 hours,850,4,Text,"Fashion, Cooking",50,25,Once per week
1990,Male,Master's,In a Relationship,2.5 hours,600,3,Image,"Travel, Photography",55,28,3 times per week
1993,Female,Bachelor's,Divorced,3 hours,650,2,Video,"Fitness, Yoga",35,15,Once every two weeks
1990,Male,Doctoral,Single,1.5 hours,300,1,Text,"Science, Literature",20,10,Once per month
1999,Female,Bachelor's,Single,4 hours,700,3,Video,"Fashion, Beauty",45,23,Once per week
1991,Male,High School,Married,2 hours,400,2,Image,"Gaming, Technology",30,15,2 times per month
1994,Female,Master's,In a Relationship,3.8 hours,800,4,Text,"Literature, History",60,27,3 times per week
1996,Male,Master's,Single,3 hours,750,3,Video,"Science, Technology",42,18,2 times per week
2000,Female,High School,Single,4.2 hours,620,2,Image,"Fashion, Travel",48,24,Once per week
1999,Male,Bachelor's,Single,3.7 hours,800,3,Video,"Gaming, Music",55,30,3 times per week
1992,Female,Master's,Married,2.8 hours,540,2,Text,"Literature, Poetry",30,15,Once every two weeks
1998,Male,Bachelor's,In a Relationship,4.5 hours,720,3,Image,"Photography, Travel",60,25,2 times per week
2001,Female,High School,Single,3.3 hours,680,2,Video,"Music, Dance",40,20,Once per week
1995,Male,Bachelor's,Single,3.8 hours,560,3,Text,"Technology, Science",50,25,3 times per week
1999,Female,Master's,Single,4.1 hours,720,3,Video,"Literature, Music",45,22,Once per week
1996,Male,Bachelor's,Married,4 hours,600,2,Text,"Cuisine, Cooking",50,28,Once per week
2000,Female,Bachelor's,Single,3.5 hours,680,2,Video,"Makeup, Fashion",55,30,2 times per week
1993,Female,Bachelor's,Married,4 hours,600,2,Video,"Cooking, Baking",30,15,Once every two weeks
1995,Male,High School,Single,2.5 hours,450,1,Text,"Fitness, Yoga",40,20,2 times per week
1997,Female,Doctoral,Single,3.8 hours,780,3,Image,"Politics, Current Events",50,25,Once per month
2000,Male,Master's,In a Relationship,4.2 hours,620,2,Video,"Science, Technology",55,30,3 times per week
1992,Female,Bachelor's,Married,3 hours,750,3,Text,"Literature, Poetry",60,27,3 times per week
1998,Male,High School,Single,4 hours,550,2,Video,"Music, Dance",40,20,Once per week
1995,Female,Unknown,In a Relationship,3.5 hours,800,4,Image,"Fashion, Makeup",65,32,2 times per week
2001,Male,High School,Single,2.8 hours,480,1,Text,"Comedy, Memes",35,18,Once every two weeks
1994,Female,Bachelor's,Divorced,3.5 hours,700,3,Video,"Sports, Fitness",55,25,3 times per week
1991,Male,Master's,Single,3.2 hours,650,2,Text,"Outdoor, Adventure",50,28,Once per week
1999,Female,Bachelor's,Single,4 hours,720,3,Video,"Social Media, Travel",45,22,Once per week
2002,Male,Bachelor's,Married,3.7 hours,780,3,Image,"Business, Finance",60,27,2 times per week
1996,Female,Master's,In a Relationship,4 hours,850,4,Video,"Shopping, Technology",30,15,Once every two weeks
1993,Male,Doctoral,Single,2 hours,400,1,Text,"K-Pop, Dance",60,30,2 times per week
1998,Female,Bachelor's,Single,3.5 hours,620,2,Image,"Makeup, Fashion",45,23,3 times per week
1990,Male,High School,Single,3.2 hours,500,2,Video,"Adventure, Outdoor",50,28,2 times per week
1997,Female,Master's,Single,3.8 hours,720,3,Text,"Makeup, Fashion",50,25,Once per week
1995,Male,Bachelor's,In a Relationship,4 hours,680,3,Video,"Fitness, Yoga",55,30,3 times per week
2000,Female,High School,Single,3.7 hours,750,3,Image,"Makeup, Fashion",55,25,Once per week
1991,Male,Bachelor's,Married,2.8 hours,550,2,Video,"Literature, History",40,20,3 times per week
2001,Female,Master's,Single,3.2 hours,480,1,Text,"Travel, Photography",45,22,Once per week
1993,Male,High School,Single,3.8 hours,620,2,Image,"Photography, Drawing",60,25,2 times per week
1996,Female,Bachelor's,In a Relationship,4.5 hours,800,4,Video,"DIY, Art",65,32,3 times per week
1990,Male,Doctoral,Divorced,1.8 hours,350,1,Image,"Painting, Poetry",30,15,Once every two weeks
1999,Female,Bachelor's,Single,3.5 hours,720,3,Video,"Fashion, Makeup",55,28,Once per week
1998,Male,Master's,In a Relationship,2.5 hours,550,2,Text,"Literature, Poetry",40,20,3 times per week
1992,Female,Bachelor's,Married,3 hours,700,3,Image,"Cooking, Baking",60,27,3 times per week
1995,Female,High School,Single,3.5 hours,540,2,Text,"Sports, Fitness",30,15,Once every two weeks
2000,Male,Bachelor's,In a Relationship,4 hours,620,3,Video,"Science, Technology",55,30,3 times per week
1992,Female,Bachelor's,Married,3.2 hours,580,2,Image,"Literature, Poetry",60,27,3 times per week
1998,Male,Master's,Single,3.8 hours,760,4,Video,"Travel, Photography",50,25,Once per month
1993,Female,Bachelor's,Married,3 hours,720,3,Text,"Literature, Poetry",60,27,3 times per week
2002,Male,High School,Single,2.8 hours,490,2,Video,"Comedy, Memes",35,18,Once every two weeks
1994,Female,Unknown,In a Relationship,3.5 hours,820,3,Image,"Fashion, Beauty",65,32,2 times per week
1999,Male,High School,Single,3.2 hours,520,1,Text,"Music, Dance",40,20,Once per week
1996,Female,Bachelor's,Divorced,4 hours,680,4,Video,"Sports, Fitness",55,25,3 times per week
1991,Male,Master's,Single,3.5 hours,670,3,Text,"Outdoor, Adventure",50,28,Once per week
1997,Female,Bachelor's,Single,4 hours,730,4,Video,"Social Media, Travel",45,22,Once per week
2000,Male,Bachelor's,Married,3.7 hours,790,3,Image,"Business, Finance",60,27,2 times per week
1995,Female,Master's,In a Relationship,4 hours,870,0,Video,"Shopping, Technology",30,15,Once every two weeks
1992,Male,Doctoral,Single,2 hours,420,1,Text,"K-Pop, Dance",60,30,2 times per week
1997,Female,Bachelor's,Single,3.5 hours,640,3,Image,"Makeup, Fashion",45,23,3 times per week
1991,Male,High School,Single,3.2 hours,510,2,Video,"Adventure, Outdoor",50,28,2 times per week
1998,Female,Master's,Single,3.8 hours,740,3,Text,"Makeup, Fashion",50,25,Once per week
1996,Male,Bachelor's,In a Relationship,4 hours,710,3,Video,"Fitness, Yoga",55,30,3 times per week
2001,Female,High School,Single,3.7 hours,770,3,Image,"Makeup, Fashion",55,25,Once per week
2000,Male,Bachelor's,Married,2.8 hours,590,2,Video,"Literature, History",40,20,3 times per week
2002,Female,Master's,Single,3.2 hours,490,1,Text,"Travel, Photography",45,22,Once per week
1994,Male,High School,Single,3.8 hours,650,2,Image,"Photography, Drawing",60,25,2 times per week
1997,Female,Bachelor's,In a Relationship,4.5 hours,820,4,Video,"DIY, Art",65,32,3 times per week
1990,Male,Doctoral,Divorced,1.8 hours,370,1,Image,"Painting, Poetry",30,15,Once every two weeks
2000,Female,Bachelor's,Single,3.5 hours,710,3,Video,"Fashion, Makeup",55,28,Once per week
1998,Male,Master's,In a Relationship,2.5 hours,590,2,Text,"Literature, Poetry",40,20,3 times per week
1991,Female,Bachelor's,Married,3 hours,720,3,Image,"Cooking, Baking",60,27,3 times per week
1992,Female,Master's,Married,2.5 hours,450,0,Video,"Fashion, Makeup",25,12,Once per week
1997,Male,Bachelor's,Single,4 hours,700,3,Text,"Music, Dance",30,15,2 times per week
2003,Female,High School,Single,3.5 hours,250,2,Video,"Comedy, Memes",20,10,3 times per week
2004,Male,High School,Single,2 hours,300,1,Image,"Science, History",15,5,Daily
1996,Female,Bachelor's,In a Relationship,5 hours,1000,0,Video,"Literature, Poetry",40,20,3 times per week
1990,Male,Master's,Divorced,1.5 hours,150,0,Text,"Travel, Photography",10,4,Once per quarter
1999,Female,Bachelor's,Married,3 hours,500,2,Video,"DIY, Art",30,12,Once every two months
2000,Male,High School,Single,3 hours,600,4,Video,"Music, Movies",35,18,2 times per week
1999,Female,Bachelor's,In a Relationship,4.5 hours,800,5,Text,"Gaming, Anime",50,25,Daily
1995,Male,Bachelor's,Married,2.5 hours,400,1,Image,"Sports, Fitness",20,10,Once every three months
1993,Female,Master's,Single,3 hours,550,3,Video,"Cooking, Baking",30,15,Once per week
1990,Female,Master's,Married,2 hours,700,2,Text,"Music, Movies",30,15,Once per week
1990,Male,Doctoral,Divorced,1.5 hours,200,0,Image,"Science, Politics",10,5,Once per month
2003,Female,High School,Single,4 hours,1200,4,Video,"K-Pop, Travel",50,25,Daily
1995,Male,Bachelor's,In a Relationship,3.5 hours,900,3,Video,"Social Media, Gaming",45,20,2 times per week
1992,Female,Unknown,Single,5 hours,1000,6,Text,"Art, Literature",55,30,3 times per week
1998,Male,Master's,Married,1 hour,400,1,Video,"Business, Finance",20,10,Once per quarter
2001,Female,High School,Single,4.5 hours,1100,5,Video,"Anime, Fashion",60,35,Daily
1999,Male,Bachelor's,In a Relationship,3 hours,800,2,Text,"History, Gardening",35,18,Once per month
1996,Female,Doctoral,Married,2.5 hours,500,3,Video,"DIY, Photography",25,12,Once every two months
1995,Male,Unknown,Divorced,1 hour,150,0,Text,"Fitness, Adventure",15,8,Once every three months
1994,Female,Master's,Single,3 hours,600,4,Video,"Travel, Music",40,20,Once per week
1989,Male,High School,Married,2 hours,300,1,Image,"Cooking, Sports",10,5,Once every six months
1991,Female,Bachelor's,Single,3 hours,800,2,Video,"Travel, Photography",40,18,2 times per week
1991,Male,Doctoral,Married,2 hours,250,1,Text,"History, Science",15,10,Once per month
2003,Female,High School,Single,4.5 hours,1100,3,Image,"K-Pop, Dance",55,30,Daily
1994,Male,Bachelor's,In a Relationship,5 hours,1200,5,Video,"Social Media, Comedy",50,25,3 times per week
1992,Female,Master's,Married,2.5 hours,600,4,Text,"Literature, Art",30,20,Once per week
1996,Male,Unknown,Divorced,1 hour,150,0,Video,"Business, Finance",20,8,Once per quarter
2000,Female,High School,Single,3.5 hours,900,2,Video,"Fashion, Makeup",45,18,Daily
1997,Male,Bachelor's,Married,2 hours,400,1,Image,"Cooking, Gardening",35,12,Once every two months
1993,Female,Master's,Single,4 hours,700,3,Text,"Photography, Drawing",50,22,2 times per week
2001,Male,High School,Divorced,1.5 hours,200,0,Video,"Sports, Fitness",10,5,Once every three months
1995,Female,Unknown,In a Relationship,5 hours,800,4,Image,"Travel, Adventure",60,30,3 times per week
2001,Male,Bachelor's,Single,3 hours,500,2,Text,"Gaming, Movies",40,18,Daily
1998,Female,Master's,Married,2 hours,650,1,Video,"Fashion, Baking",35,15,Once per month
1990,Male,Doctoral,Divorced,4.5 hours,900,3,Text,"Politics, Current Events",25,10,Once per quarter
2000,Female,Bachelor's,Married,2.5 hours,650,1,Text,"Fitness, Yoga",25,12,Once per month
1997,Male,Master's,Single,4 hours,850,3,Video,"Music, Cooking",45,22,2 times per week
2002,Female,High School,In a Relationship,5 hours,1150,5,Image,"Makeup, Fashion",50,28,Daily
1994,Male,Unknown,Married,1.5 hours,300,0,Text,"Technology, Science",15,7,Once per quarter
1999,Female,Bachelor's,Single,3 hours,700,2,Video,"Photography, Art",30,15,Once per week
1991,Male,Doctoral,Divorced,1 hour,200,1,Image,"History, Politics",10,5,Once every three months
2000,Female,High School,Single,4.5 hours,950,3,Video,"Dance, Comedy",55,27,Daily
1996,Male,Bachelor's,In a Relationship,2.5 hours,400,1,Text,"Gaming, Memes",35,18,2 times per month
1995,Female,Unknown,Married,6 hours,1200,1,Video,"Travel, Social Media",60,30,3 times per week
1999,Male,Master's,Divorced,1.5 hours,250,0,Text,"DIY, Gardening",20,8,Once every six months
1998,Female,Doctoral,Single,3 hours,800,2,Image,"Cooking, Baking",40,20,2 times per week
2003,Male,High School,Single,4 hours,1000,4,Video,"Anime, Movies",50,25,Daily
1991,Female,Bachelor's,In a Relationship,1.5 hours,500,1,Text,"Photography, Painting",25,12,Once per month
1993,Male,Unknown,Married,2 hours,350,1,Image,"Sports, Technology",15,8,Once per quarter
1999,Female,Master's,Single,4.5 hours,900,3,Video,"K-Pop, Adventure",45,20,Once per week
1998,Male,Bachelor's,Divorced,1 hour,150,0,Text,"Science, History",10,5,Once every three months
1997,Female,Bachelor's,Single,3 hours,750,2,Text,"Music, Drawing",40,20,3 times per week
1994,Male,Master's,Married,2 hours,500,1,Image,"Cooking, Movies",25,15,Once per month
1990,Female,Doctoral,Divorced,1.5 hours,300,0,Video,"Science, Technology",10,5,Once every three months
2002,Male,High School,Single,5 hours,1000,4,Video,"Anime, Dance",50,30,Daily
1996,Female,Bachelor's,In a Relationship,4.5 hours,850,3,Text,"Travel, Fitness",45,25,2 times per week
1993,Male,Unknown,Married,1 hour,200,0,Image,"Finance, Business",15,10,Once every two months
2000,Female,Master's,Divorced,2.5 hours,600,2,Video,"Photography, DIY",20,12,Once per quarter
2001,Male,High School,Single,4 hours,950,3,Text,"Gaming, K-Pop",40,20,Daily
1999,Female,Bachelor's,In a Relationship,3.5 hours,700,1,Video,"Art, Literature",30,18,3 times per week
1995,Male,Doctoral,Married,1.5 hours,300,0,Image,"History, Cooking",15,5,Once every three months
1991,Female,High School,Single,5 hours,1100,4,Video,"Fashion, Travel",50,30,Daily
1998,Male,Master's,Divorced,2 hours,400,1,Text,"Music, Sports",25,10,Once per month
2000,Female,Unknown,Single,4 hours,850,2,Video,"Social Media, Photography",45,25,2 times per week
1994,Male,Bachelor's,Married,3 hours,750,3,Image,"Adventure, Gaming",30,15,Once every two months
1997,Female,Master's,In a Relationship,2.5 hours,650,2,Text,"K-Pop, Makeup",35,18,3 times per week
1990,Male,Doctoral,Divorced,1 hour,200,0,Video,"Politics, Technology",10,5,Once every three months
2004,Female,High School,Single,5 hours,1000,4,Image,"Dance, Movies",50,30,Daily
1994,Male,Master's,Married,2 hours,400,1,Image,"Music, Business",12,5,Once every month
1992,Female,Bachelor's,Single,3 hours,600,3,Video,"Sports, Travel",45,23,2 times per week
1998,Male,High School,In a Relationship,4.5 hours,1000,2,Text,"Gaming, Anime",65,30,Daily
2001,Female,High School,Single,5 hours,1100,4,Image,"Social Media, K-Pop",50,28,Daily
1995,Male,Doctoral,Divorced,1 hour,300,0,Text,"Science, History",10,6,Once per quarter
1993,Female,Bachelor's,Married,3.5 hours,800,3,Video,"Literature, Art",35,18,Once every two months
1999,Male,Unknown,In a Relationship,4 hours,950,2,Image,"Music, Dance",40,20,2 times per week
1997,Female,Master's,Divorced,1.5 hours,200,0,Text,"Cooking, Gardening",15,8,Once every three months
2003,Male,High School,Single,5.5 hours,1200,5,Video,"Technology, Gaming",60,32,Daily
1996,Female,Bachelor's,Married,2.5 hours,700,1,Text,"Poetry, Fashion",28,16,Once per month
1991,Male,Master's,Single,1 hour,300,0,Image,"Business, Finance",10,5,Once per quarter
1994,Female,High School,In a Relationship,4 hours,850,3,Video,"Social Media, Photography",45,22,2 times per week
1990,Male,Doctoral,Married,2 hours,500,1,Text,"History, Science",25,10,Once every two months
1995,Female,Unknown,Single,3.5 hours,700,2,Image,"Fashion, Music",40,20,2 times per week
1998,Male,Bachelor's,Divorced,1.5 hours,200,0,Video,"Technology, DIY",15,7,Once every three months
2000,Female,Master's,Married,2 hours,600,1,Text,"Art, Literature",30,18,Once per month
1993,Male,High School,Single,5 hours,900,4,Image,"Fitness, Travel",55,28,Daily
